title,link,author,rating
Coraline (Paperback),https://www.goodreads.com/book/show/17061.Coraline,Neil Gaiman,4.1
"The Dragon Reborn (The Wheel of Time, #3)",https://www.goodreads.com/book/show/34897.The_Dragon_Reborn,Robert Jordan,"avg rating 4.27 — 271,825 ratings — published 1991"
"House of Earth and Blood (Crescent City, #1)",https://www.goodreads.com/book/show/44778083-house-of-earth-and-blood,Sarah J. Maas,4.48
"Elantris (Elantris, #1)",https://www.goodreads.com/book/show/68427.Elantris,Brandon Sanderson,4.19
"Cinder (The Lunar Chronicles, #1)",https://www.goodreads.com/book/show/36381037-cinder,Marissa Meyer,4.13
"Catching Fire (The Hunger Games, #2)",https://www.goodreads.com/book/show/6148028-catching-fire,Suzanne Collins,"avg rating 4.31 — 3,272,032 ratings — published 2009"
"Words of Radiance (The Stormlight Archive, #2)",https://www.goodreads.com/book/show/17332218-words-of-radiance,Brandon Sanderson,4.76
"The Lost Hero (The Heroes of Olympus, #1)",https://www.goodreads.com/book/show/7736182-the-lost-hero,Rick Riordan,4.31
"Storm Front (The Dresden Files, #1)",https://www.goodreads.com/book/show/47212.Storm_Front,Jim Butcher,3.98
"From Blood and Ash (Blood and Ash, #1)",https://www.goodreads.com/book/show/52831200-from-blood-and-ash,Jennifer L. Armentrout,4.26
"Empire of Storms (Throne of Glass, #5)",https://www.goodreads.com/book/show/76713323-empire-of-storms,Sarah J. Maas,4.58
"Sabriel (Abhorsen, #1)",https://www.goodreads.com/book/show/518848.Sabriel,Garth Nix,4.16
"The Silver Chair (Chronicles of Narnia, #4)",https://www.goodreads.com/book/show/65641.The_Silver_Chair,C.S. Lewis,"avg rating 3.96 — 283,138 ratings — published 1953"
"A Discovery of Witches (All Souls, #1)",https://www.goodreads.com/book/show/8667848-a-discovery-of-witches,Deborah Harkness,4.02
"A Court of Silver Flames (A Court of Thorns and Roses, #4)",https://www.goodreads.com/book/show/53138095-a-court-of-silver-flames,Sarah J. Maas,4.44
"Mockingjay (The Hunger Games, #3)",https://www.goodreads.com/book/show/7260188-mockingjay,Suzanne Collins,"avg rating 4.07 — 2,976,215 ratings — published 2010"
"Children of Blood and Bone (Legacy of Orïsha, #1)",https://www.goodreads.com/book/show/34728667-children-of-blood-and-bone,Tomi Adeyemi,4.11
"The Magicians (The Magicians, #1)",https://www.goodreads.com/book/show/6101718-the-magicians,Lev Grossman,3.53
"The Last Battle (Chronicles of Narnia, #7)",https://www.goodreads.com/book/show/84369.The_Last_Battle,C.S. Lewis,"avg rating 4.01 — 262,755 ratings — published 1956"
"City of Fallen Angels (The Mortal Instruments, #4)",https://www.goodreads.com/book/show/6752378-city-of-fallen-angels,Cassandra Clare,4.08
"The Shadow Rising (The Wheel of Time, #4)",https://www.goodreads.com/book/show/9539.The_Shadow_Rising,Robert Jordan,"avg rating 4.27 — 218,399 ratings — published 1992"
"Inkheart (Inkworld, #1)",https://www.goodreads.com/book/show/28194.Inkheart,Cornelia Funke,3.91
"Ninth House (Alex Stern, #1)",https://www.goodreads.com/book/show/43263680-ninth-house,Leigh Bardugo,4.04
"Mort (Discworld, #4; Death, #1)",https://www.goodreads.com/book/show/386372.Mort,Terry Pratchett,"avg rating 4.24 — 233,187 ratings — published 1987"
"Artemis Fowl (Artemis Fowl, #1)",https://www.goodreads.com/book/show/249747.Artemis_Fowl,Eoin Colfer,"avg rating 3.86 — 537,821 ratings — published 2001"
Spinning Silver (Kindle Edition),https://www.goodreads.com/book/show/36896898-spinning-silver,Naomi Novik,4.21
"Warbreaker (Warbreaker, #1)",https://www.goodreads.com/book/show/1268479.Warbreaker,Brandon Sanderson,4.3
"Royal Assassin (Farseer Trilogy, #2)",https://www.goodreads.com/book/show/25300956-royal-assassin,Robin Hobb,4.26
"Blood of Elves (The Witcher, #1)",https://www.goodreads.com/book/show/6043781-blood-of-elves,Andrzej Sapkowski,"avg rating 4.10 — 183,801 ratings — published 1994"
"A Gathering of Shadows (Shades of Magic, #2)",https://www.goodreads.com/book/show/20764879-a-gathering-of-shadows,V.E. Schwab,"avg rating 4.23 — 171,628 ratings — published 2016"
"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",https://www.goodreads.com/book/show/37442.Wicked,Gregory Maguire,"avg rating 3.54 — 590,031 ratings — published 1995"
"Poison Study (Study, #1)",https://www.goodreads.com/book/show/60510.Poison_Study,Maria V. Snyder,4.1
"The City of Brass (The Daevabad Trilogy, #1)",https://www.goodreads.com/book/show/32718027-the-city-of-brass,S.A. Chakraborty,4.15
Piranesi (Hardcover),https://www.goodreads.com/book/show/50202953-piranesi,Susanna Clarke,"avg rating 4.24 — 221,382 ratings — published 2020"
"Wizard's First Rule (Sword of Truth, #1)",https://www.goodreads.com/book/show/43889.Wizard_s_First_Rule,Terry Goodkind,"avg rating 4.12 — 242,647 ratings — published 1994"
The Starless Sea (Hardcover),https://www.goodreads.com/book/show/43575115-the-starless-sea,Erin Morgenstern,3.86
"Clockwork Prince (The Infernal Devices, #2)",https://www.goodreads.com/book/show/10025305-clockwork-prince,Cassandra Clare,4.43
"The Alloy of Law (Mistborn, #4)",https://www.goodreads.com/book/show/10803121-the-alloy-of-law,Brandon Sanderson,4.21
"The Son of Neptune (The Heroes of Olympus, #2)",https://www.goodreads.com/book/show/9520360-the-son-of-neptune,Rick Riordan,4.42
"Strange the Dreamer (Strange the Dreamer, #1)",https://www.goodreads.com/book/show/28449207-strange-the-dreamer,Laini Taylor,4.29
"Inheritance (The Inheritance Cycle, #4)",https://www.goodreads.com/book/show/7664041-inheritance,Christopher Paolini,4.13
Fantastic Beasts and Where to Find Them (Hogwarts Library),https://www.goodreads.com/book/show/41899.Fantastic_Beasts_and_Where_to_Find_Them,J.K. Rowling,"avg rating 3.96 — 389,642 ratings — published 2001"
"City of Lost Souls (The Mortal Instruments, #5)",https://www.goodreads.com/book/show/8755776-city-of-lost-souls,Cassandra Clare,4.23
"Carry On (Simon Snow, #1)",https://www.goodreads.com/book/show/32768522-carry-on,Rainbow Rowell,4.19
The Song of Achilles (Paperback),https://www.goodreads.com/book/show/13623848-the-song-of-achilles,Madeline Miller,4.35
"The Mists of Avalon (Avalon, #1)",https://www.goodreads.com/book/show/40605251-the-mists-of-avalon,Marion Zimmer Bradley,"avg rating 4.13 — 202,968 ratings — published 1982"
"Kingdom of Ash (Throne of Glass, #7)",https://www.goodreads.com/book/show/76715522-kingdom-of-ash,Sarah J. Maas,4.64
