title,link,author,rating
The Dresden Files,https://www.goodreads.com/book/show/47212.Storm_Front,Jim Butcher,3.98
Blood and Ash,https://www.goodreads.com/book/show/52831200-from-blood-and-ash,Jennifer L. Armentrout,4.26
Throne of Glass,https://www.goodreads.com/book/show/76713323-empire-of-storms,Sarah J. Maas,4.58
Abhorsen,https://www.goodreads.com/book/show/518848.Sabriel,Garth Nix,4.16
Chronicles of Narnia,https://www.goodreads.com/book/show/65641.The_Silver_Chair,C.S. Lewis,"avg rating 3.96 — 283,296 ratings — published 1953"
A Court of Thorns and Roses,https://www.goodreads.com/book/show/53138095-a-court-of-silver-flames,Sarah J. Maas,4.44
All Souls,https://www.goodreads.com/book/show/8667848-a-discovery-of-witches,Deborah Harkness,4.02
The Hunger Games,https://www.goodreads.com/book/show/7260188-mockingjay,Suzanne Collins,"avg rating 4.07 — 2,978,333 ratings — published 2010"
Legacy of Orïsha,https://www.goodreads.com/book/show/34728667-children-of-blood-and-bone,Tomi Adeyemi,4.11
The Magicians,https://www.goodreads.com/book/show/6101718-the-magicians,Lev Grossman,3.53
Chronicles of Narnia,https://www.goodreads.com/book/show/84369.The_Last_Battle,C.S. Lewis,"avg rating 4.01 — 262,897 ratings — published 1956"
The Mortal Instruments,https://www.goodreads.com/book/show/6752378-city-of-fallen-angels,Cassandra Clare,4.08
The Wheel of Time,https://www.goodreads.com/book/show/9539.The_Shadow_Rising,Robert Jordan,"avg rating 4.27 — 218,541 ratings — published 1992"
Inkworld,https://www.goodreads.com/book/show/28194.Inkheart,Cornelia Funke,3.91
Alex Stern,https://www.goodreads.com/book/show/43263680-ninth-house,Leigh Bardugo,4.04
Discworld,https://www.goodreads.com/book/show/386372.Mort,Terry Pratchett,"avg rating 4.24 — 233,306 ratings — published 1987"
Artemis Fowl,https://www.goodreads.com/book/show/249747.Artemis_Fowl,Eoin Colfer,"avg rating 3.86 — 537,914 ratings — published 2001"
Spinning Silver (Kindle Edition),https://www.goodreads.com/book/show/36896898-spinning-silver,Naomi Novik,4.21
Warbreaker,https://www.goodreads.com/book/show/1268479.Warbreaker,Brandon Sanderson,4.3
Farseer Trilogy,https://www.goodreads.com/book/show/25300956-royal-assassin,Robin Hobb,4.26
The Witcher,https://www.goodreads.com/book/show/6043781-blood-of-elves,Andrzej Sapkowski,"avg rating 4.10 — 184,006 ratings — published 1994"
Shades of Magic,https://www.goodreads.com/book/show/20764879-a-gathering-of-shadows,V.E. Schwab,"avg rating 4.23 — 171,881 ratings — published 2016"
The Wicked Years,https://www.goodreads.com/book/show/37442.Wicked,Gregory Maguire,"avg rating 3.54 — 590,098 ratings — published 1995"
Study,https://www.goodreads.com/book/show/60510.Poison_Study,Maria V. Snyder,4.1
The Daevabad Trilogy,https://www.goodreads.com/book/show/32718027-the-city-of-brass,S.A. Chakraborty,4.15
Piranesi (Hardcover),https://www.goodreads.com/book/show/50202953-piranesi,Susanna Clarke,"avg rating 4.24 — 221,882 ratings — published 2020"
The Starless Sea (Hardcover),https://www.goodreads.com/book/show/43575115-the-starless-sea,Erin Morgenstern,3.86
Sword of Truth,https://www.goodreads.com/book/show/43889.Wizard_s_First_Rule,Terry Goodkind,"avg rating 4.12 — 242,682 ratings — published 1994"
The Infernal Devices,https://www.goodreads.com/book/show/10025305-clockwork-prince,Cassandra Clare,4.43
Mistborn,https://www.goodreads.com/book/show/10803121-the-alloy-of-law,Brandon Sanderson,4.21
The Heroes of Olympus,https://www.goodreads.com/book/show/9520360-the-son-of-neptune,Rick Riordan,4.42
Strange the Dreamer,https://www.goodreads.com/book/show/28449207-strange-the-dreamer,Laini Taylor,4.29
Fantastic Beasts and Where to Find Them (Hogwarts Library),https://www.goodreads.com/book/show/41899.Fantastic_Beasts_and_Where_to_Find_Them,J.K. Rowling,"avg rating 3.96 — 389,771 ratings — published 2001"
The Inheritance Cycle,https://www.goodreads.com/book/show/7664041-inheritance,Christopher Paolini,4.13
The Mortal Instruments,https://www.goodreads.com/book/show/8755776-city-of-lost-souls,Cassandra Clare,4.23
Simon Snow,https://www.goodreads.com/book/show/32768522-carry-on,Rainbow Rowell,4.19
The Song of Achilles (Paperback),https://www.goodreads.com/book/show/13623848-the-song-of-achilles,Madeline Miller,4.35
Throne of Glass,https://www.goodreads.com/book/show/76715522-kingdom-of-ash,Sarah J. Maas,4.64
Avalon,https://www.goodreads.com/book/show/40605251-the-mists-of-avalon,Marion Zimmer Bradley,"avg rating 4.13 — 202,996 ratings — published 1982"
Discworld,https://www.goodreads.com/book/show/34507.Equal_Rites,Terry Pratchett,"avg rating 4.05 — 170,339 ratings — published 1987"
The Wheel of Time,https://www.goodreads.com/book/show/35231.Lord_of_Chaos,Robert Jordan,"avg rating 4.17 — 164,124 ratings — published 1994"
Serpent & Dove,https://www.goodreads.com/book/show/40024139-serpent-dove,Shelby Mahurin,4.01
King of Scars,https://www.goodreads.com/book/show/36307634-king-of-scars,Leigh Bardugo,4.17
Discworld,https://www.goodreads.com/book/show/64216.Guards_Guards_,Terry Pratchett,"avg rating 4.33 — 195,214 ratings — published 1989"
Farseer Trilogy,https://www.goodreads.com/book/show/33396914-assassin-s-quest,Robin Hobb,4.2
The Infernal Devices,https://www.goodreads.com/book/show/18335634-clockwork-princess,Cassandra Clare,4.56
Throne of Glass,https://www.goodreads.com/book/show/76714487-tower-of-dawn,Sarah J. Maas,4.27
Malazan Book of the Fallen,https://www.goodreads.com/book/show/55399.Gardens_of_the_Moon,Steven Erikson,3.91
Discworld,https://www.goodreads.com/book/show/34506.The_Light_Fantastic,Terry Pratchett,"avg rating 3.99 — 144,462 ratings — published 1986"
Villains,https://www.goodreads.com/book/show/40874032-vicious,V.E. Schwab,"avg rating 4.23 — 204,458 ratings — published 2013"
Wayward Children,https://www.goodreads.com/book/show/25526296-every-heart-a-doorway,Seanan McGuire,3.82
The Heroes of Olympus,https://www.goodreads.com/book/show/12127750-the-mark-of-athena,Rick Riordan,4.47
