title,link,author,rating
The Faithful and the Fallen,https://www.goodreads.com/book/show/15750692-malice,John Gwynne,4.16
The Dark is Rising,https://www.goodreads.com/book/show/222576.The_Grey_King,Susan Cooper,4.16
Monsters of Verity,https://www.goodreads.com/book/show/32075662-our-dark-duet,Victoria Schwab,4.15
Fairy Tale ,https://www.goodreads.com/book/show/60177373-fairy-tale,Stephen King,4.15
Penryn & the End of Days,https://www.goodreads.com/book/show/17849112-world-after,Susan Ee,4.15
The Girl Who Fell Beneath the Sea ,https://www.goodreads.com/book/show/56978100-the-girl-who-fell-beneath-the-sea,Axie Oh,4.15
Divergent,https://www.goodreads.com/book/show/13335037-divergent,Veronica Roth,4.15
The Book of Dust,https://www.goodreads.com/book/show/34128219-la-belle-sauvage,Philip Pullman,4.15
Crier's War,https://www.goodreads.com/book/show/41951626-crier-s-war,Nina Varela,4.15
The Wind Through the Keyhole ,https://www.goodreads.com/book/show/12341557-the-wind-through-the-keyhole,Stephen King,4.15
The Graveyard Book ,https://www.goodreads.com/book/show/2213661.The_Graveyard_Book,Neil Gaiman,4.15
The Celestial Kingdom Duology #1),https://www.goodreads.com/book/show/57789637-daughter-of-the-moon-goddess,Sue Lynn Tan,4.15
Charlie Bucket,https://www.goodreads.com/book/show/6310.Charlie_and_the_Chocolate_Factory,Roald Dahl,4.15
Regency Faerie Tales,https://www.goodreads.com/book/show/60717747-half-a-soul,Olivia Atwater,4.15
The Belgariad #2),https://www.goodreads.com/book/show/587582.Queen_of_Sorcery,David Eddings,4.14
Renegades,https://www.goodreads.com/book/show/28421168-renegades,Marissa Meyer,4.14
The Belgariad #3),https://www.goodreads.com/book/show/44688.Magician_s_Gambit,David Eddings,4.14
His Fair Assassin,https://www.goodreads.com/book/show/9943270-dark-triumph,Robin LaFevers,4.14
East,https://www.goodreads.com/book/show/161887.East,Edith Pattou,4.14
Daughter of Smoke & Bone,https://www.goodreads.com/book/show/12812550-days-of-blood-starlight,Laini Taylor,4.14
Kafka on the Shore ,https://www.goodreads.com/book/show/4929.Kafka_on_the_Shore,Haruki Murakami,4.14
Arthurian Saga,https://www.goodreads.com/book/show/82192.The_Crystal_Cave,Mary Stewart,4.14
The Licanius Trilogy,https://www.goodreads.com/book/show/22878967-the-shadow-of-what-was-lost,James Islington,4.14
